"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","订单","支付成功的回调","0","0","1","0","0"
"","购物车","添加商品到购物车","0","0","1","0","0"
"","购物车","获取某个会员的购物车列表,包括促销信息","0","0","1","0","0"
"","收货地址","根据id删除收货地址","0","0","1","0","0"
"","订单","根据购物车信息生成确认单信息","0","0","1","0","0"
"","优惠券","优惠券","0","0","1","0","0"
"","会员收藏","查询会员收藏列表","0","0","1","0","0"
"","登录","获取验证码","0","0","1","0","0"
"","会员关注品牌","查询会员关注品牌列表","0","0","1","0","0"
"","首页","分类获取专题","0","0","1","0","0"
"","会员关注品牌","取消会员关注品牌","0","0","1","0","0"
"","退货管理","申请退货","0","0","1","0","0"
"","订单","根据购物车信息生成订单","0","0","1","0","0"
"","收货地址","根据id查询收货地址","0","0","1","0","0"
"","收货地址","根据id修改收货地址","0","0","1","0","0"
"","购物车","修改购物车中商品的规格","0","0","1","0","0"
"","购物车","修改购物车中商品的数量","0","0","1","0","0"
"","会员商品浏览记录管理","创建浏览记录","0","0","1","0","0"
"","登录","修改密码","0","0","2","0","0"
"","登录","登录","0","0","3","0","0"
"","收货地址","查询用户收货地址列表","0","0","1","0","0"
"","会员商品浏览记录管理","展示浏览记录","0","0","1","0","0"
"","首页","分页获取推荐商品","0","0","1","0","0"
"","会员收藏","取消会员收藏","0","0","1","0","0"
"","会员关注品牌","添加会员关注品牌","0","0","1","0","0"
"","购物车","获取会员购物车列表","0","0","1","0","0"
"","购物车","清空购物车","0","0","1","0","0"
"","首页","首页内容页信息展示","0","0","1","0","0"
"","购物车","删除购物车商品","0","0","1","0","0"
"","会员收藏","添加会员收藏","0","0","1","0","0"
"","收货地址","添加收货地址","0","0","1","0","0"
"","会员商品浏览记录管理","删除浏览记录","0","0","1","0","0"
"","首页","获取首页商品分类","0","0","1","0","0"
